2024-12-23 12:58:13.241 +03:00 [INF] User profile is available. Using 'C:\Users\h.abumeshref\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2024-12-23 12:58:13.513 +03:00 [INF] LoggingWorker started at "2024-12-23T12:58:13.4949390+03:00"
2024-12-23 12:58:13.521 +03:00 [INF] Worker running at: "2024-12-23T12:58:13.5173538+03:00"
2024-12-23 12:58:13.913 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44355/swagger/index.html - null null
2024-12-23 12:58:13.971 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2024-12-23 12:58:13.976 +03:00 [INF] Hosting environment: Development
2024-12-23 12:58:13.980 +03:00 [INF] Content root path: C:\Users\h.abumeshref\source\repos\API\API
2024-12-23 12:58:14.292 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44355/_framework/aspnetcore-browser-refresh.js - null null
2024-12-23 12:58:14.293 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44355/swagger/index.html - 200 null text/html;charset=utf-8 386.561ms
2024-12-23 12:58:14.298 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44355/_framework/aspnetcore-browser-refresh.js - 200 13742 application/javascript; charset=utf-8 3.6234ms
2024-12-23 12:58:14.305 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44355/_vs/browserLink - null null
2024-12-23 12:58:14.368 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44355/_vs/browserLink - 200 null text/javascript; charset=UTF-8 63.0877ms
2024-12-23 12:58:14.469 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44355/swagger/v1/swagger.json - null null
2024-12-23 12:58:14.529 +03:00 [INF] Worker running at: "2024-12-23T12:58:14.5268006+03:00"
2024-12-23 12:58:14.591 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44355/swagger/v1/swagger.json - 200 null application/json;charset=utf-8 122.5424ms
2024-12-23 12:58:15.538 +03:00 [INF] Worker running at: "2024-12-23T12:58:15.5358681+03:00"
2024-12-23 12:58:16.555 +03:00 [INF] Worker running at: "2024-12-23T12:58:16.5501837+03:00"
2024-12-23 12:58:17.567 +03:00 [INF] Worker running at: "2024-12-23T12:58:17.5627085+03:00"
2024-12-23 12:58:18.576 +03:00 [INF] Worker running at: "2024-12-23T12:58:18.5702216+03:00"
2024-12-23 12:58:19.593 +03:00 [INF] Worker running at: "2024-12-23T12:58:19.5857647+03:00"
2024-12-23 12:58:20.602 +03:00 [INF] Worker running at: "2024-12-23T12:58:20.5954719+03:00"
2024-12-23 12:58:21.613 +03:00 [INF] Worker running at: "2024-12-23T12:58:21.6085801+03:00"
2024-12-23 12:58:22.620 +03:00 [INF] Worker running at: "2024-12-23T12:58:22.6157835+03:00"
2024-12-23 12:58:23.633 +03:00 [INF] Worker running at: "2024-12-23T12:58:23.6272038+03:00"
2024-12-23 12:58:24.646 +03:00 [INF] Worker running at: "2024-12-23T12:58:24.6405502+03:00"
2024-12-23 12:58:25.651 +03:00 [INF] Worker running at: "2024-12-23T12:58:25.6470563+03:00"
2024-12-23 12:58:26.667 +03:00 [INF] Worker running at: "2024-12-23T12:58:26.6610666+03:00"
2024-12-23 12:58:27.676 +03:00 [INF] Worker running at: "2024-12-23T12:58:27.6706354+03:00"
2024-12-23 12:58:28.686 +03:00 [INF] Worker running at: "2024-12-23T12:58:28.6808196+03:00"
2024-12-23 12:58:29.698 +03:00 [INF] Worker running at: "2024-12-23T12:58:29.6905683+03:00"
2024-12-23 12:58:30.718 +03:00 [INF] Worker running at: "2024-12-23T12:58:30.7127216+03:00"
2024-12-23 12:58:31.741 +03:00 [INF] Worker running at: "2024-12-23T12:58:31.7354289+03:00"
2024-12-23 12:58:32.751 +03:00 [INF] Worker running at: "2024-12-23T12:58:32.7466213+03:00"
2024-12-23 12:58:33.765 +03:00 [INF] Worker running at: "2024-12-23T12:58:33.7595593+03:00"
2024-12-23 12:58:34.779 +03:00 [INF] Worker running at: "2024-12-23T12:58:34.7747987+03:00"
2024-12-23 12:58:35.792 +03:00 [INF] Worker running at: "2024-12-23T12:58:35.7846619+03:00"
2024-12-23 12:58:36.808 +03:00 [INF] Worker running at: "2024-12-23T12:58:36.8020531+03:00"
2024-12-23 12:58:37.819 +03:00 [INF] Worker running at: "2024-12-23T12:58:37.8132163+03:00"
2024-12-23 12:58:38.827 +03:00 [INF] Worker running at: "2024-12-23T12:58:38.8217725+03:00"
2024-12-23 12:58:39.838 +03:00 [INF] Worker running at: "2024-12-23T12:58:39.8340930+03:00"
2024-12-23 12:58:40.852 +03:00 [INF] Worker running at: "2024-12-23T12:58:40.8464742+03:00"
2024-12-23 12:58:41.859 +03:00 [INF] Worker running at: "2024-12-23T12:58:41.8533227+03:00"
2024-12-23 12:58:42.867 +03:00 [INF] Worker running at: "2024-12-23T12:58:42.8644227+03:00"
2024-12-23 12:58:43.880 +03:00 [INF] Worker running at: "2024-12-23T12:58:43.8763890+03:00"
2024-12-23 12:58:44.905 +03:00 [INF] Worker running at: "2024-12-23T12:58:44.8893012+03:00"
2024-12-23 12:58:45.918 +03:00 [INF] Worker running at: "2024-12-23T12:58:45.9128267+03:00"
2024-12-23 12:58:46.927 +03:00 [INF] Worker running at: "2024-12-23T12:58:46.9216260+03:00"
2024-12-23 12:58:47.941 +03:00 [INF] Worker running at: "2024-12-23T12:58:47.9379727+03:00"
2024-12-23 12:58:48.951 +03:00 [INF] Worker running at: "2024-12-23T12:58:48.9490243+03:00"
2024-12-23 12:58:49.958 +03:00 [INF] Worker running at: "2024-12-23T12:58:49.9553794+03:00"
2024-12-23 12:58:50.969 +03:00 [INF] Worker running at: "2024-12-23T12:58:50.9659572+03:00"
2024-12-23 12:58:51.984 +03:00 [INF] Worker running at: "2024-12-23T12:58:51.9801567+03:00"
2024-12-23 12:58:52.993 +03:00 [INF] Worker running at: "2024-12-23T12:58:52.9890694+03:00"
2024-12-23 12:58:54.006 +03:00 [INF] Worker running at: "2024-12-23T12:58:54.0002260+03:00"
2024-12-23 12:58:55.014 +03:00 [INF] Worker running at: "2024-12-23T12:58:55.0079145+03:00"
2024-12-23 12:58:56.024 +03:00 [INF] Worker running at: "2024-12-23T12:58:56.0211000+03:00"
2024-12-23 12:58:57.036 +03:00 [INF] Worker running at: "2024-12-23T12:58:57.0302232+03:00"
2024-12-23 12:58:58.046 +03:00 [INF] Worker running at: "2024-12-23T12:58:58.0403390+03:00"
2024-12-23 12:58:59.057 +03:00 [INF] Worker running at: "2024-12-23T12:58:59.0500862+03:00"
2024-12-23 12:59:00.064 +03:00 [INF] Worker running at: "2024-12-23T12:59:00.0583301+03:00"
2024-12-23 12:59:01.073 +03:00 [INF] Worker running at: "2024-12-23T12:59:01.0672881+03:00"
2024-12-23 12:59:02.096 +03:00 [INF] Worker running at: "2024-12-23T12:59:02.0900992+03:00"
2024-12-23 12:59:03.108 +03:00 [INF] Worker running at: "2024-12-23T12:59:03.1031145+03:00"
2024-12-23 12:59:04.118 +03:00 [INF] Worker running at: "2024-12-23T12:59:04.1144455+03:00"
2024-12-23 12:59:05.130 +03:00 [INF] Worker running at: "2024-12-23T12:59:05.1265497+03:00"
2024-12-23 12:59:06.139 +03:00 [INF] Worker running at: "2024-12-23T12:59:06.1363706+03:00"
2024-12-23 12:59:07.151 +03:00 [INF] Worker running at: "2024-12-23T12:59:07.1467303+03:00"
2024-12-23 12:59:08.161 +03:00 [INF] Worker running at: "2024-12-23T12:59:08.1565587+03:00"
2024-12-23 12:59:09.174 +03:00 [INF] Worker running at: "2024-12-23T12:59:09.1686238+03:00"
2024-12-23 12:59:10.183 +03:00 [INF] Worker running at: "2024-12-23T12:59:10.1787892+03:00"
2024-12-23 12:59:11.192 +03:00 [INF] Worker running at: "2024-12-23T12:59:11.1873340+03:00"
2024-12-23 12:59:12.196 +03:00 [INF] Worker running at: "2024-12-23T12:59:12.1927905+03:00"
2024-12-23 12:59:13.208 +03:00 [INF] Worker running at: "2024-12-23T12:59:13.2033523+03:00"
2024-12-23 12:59:14.223 +03:00 [INF] Worker running at: "2024-12-23T12:59:14.2197258+03:00"
2024-12-23 12:59:15.237 +03:00 [INF] Worker running at: "2024-12-23T12:59:15.2335608+03:00"
2024-12-23 12:59:16.250 +03:00 [INF] Worker running at: "2024-12-23T12:59:16.2456512+03:00"
2024-12-23 12:59:17.258 +03:00 [INF] Worker running at: "2024-12-23T12:59:17.2545381+03:00"
2024-12-23 12:59:18.272 +03:00 [INF] Worker running at: "2024-12-23T12:59:18.2673661+03:00"
2024-12-23 12:59:19.280 +03:00 [INF] Worker running at: "2024-12-23T12:59:19.2777238+03:00"
2024-12-23 12:59:20.291 +03:00 [INF] Worker running at: "2024-12-23T12:59:20.2890167+03:00"
2024-12-23 12:59:21.306 +03:00 [INF] Worker running at: "2024-12-23T12:59:21.3022043+03:00"
2024-12-23 12:59:22.318 +03:00 [INF] Worker running at: "2024-12-23T12:59:22.3127307+03:00"
2024-12-23 12:59:23.326 +03:00 [INF] Worker running at: "2024-12-23T12:59:23.3225264+03:00"
2024-12-23 12:59:24.334 +03:00 [INF] Worker running at: "2024-12-23T12:59:24.3309897+03:00"
2024-12-23 12:59:25.349 +03:00 [INF] Worker running at: "2024-12-23T12:59:25.3452444+03:00"
2024-12-23 12:59:26.360 +03:00 [INF] Worker running at: "2024-12-23T12:59:26.3572716+03:00"
2024-12-23 12:59:27.374 +03:00 [INF] Worker running at: "2024-12-23T12:59:27.3706602+03:00"
2024-12-23 12:59:28.384 +03:00 [INF] Worker running at: "2024-12-23T12:59:28.3800153+03:00"
2024-12-23 12:59:29.399 +03:00 [INF] Worker running at: "2024-12-23T12:59:29.3949617+03:00"
2024-12-23 12:59:30.407 +03:00 [INF] Worker running at: "2024-12-23T12:59:30.4043232+03:00"
2024-12-23 12:59:31.418 +03:00 [INF] Worker running at: "2024-12-23T12:59:31.4151712+03:00"
2024-12-23 12:59:32.430 +03:00 [INF] Worker running at: "2024-12-23T12:59:32.4250508+03:00"
2024-12-23 12:59:33.441 +03:00 [INF] Worker running at: "2024-12-23T12:59:33.4364358+03:00"
2024-12-23 12:59:34.452 +03:00 [INF] Worker running at: "2024-12-23T12:59:34.4488166+03:00"
2024-12-23 12:59:35.462 +03:00 [INF] Worker running at: "2024-12-23T12:59:35.4578120+03:00"
2024-12-23 12:59:36.473 +03:00 [INF] Worker running at: "2024-12-23T12:59:36.4672875+03:00"
2024-12-23 12:59:37.479 +03:00 [INF] Worker running at: "2024-12-23T12:59:37.4749311+03:00"
2024-12-23 12:59:38.494 +03:00 [INF] Worker running at: "2024-12-23T12:59:38.4913750+03:00"
2024-12-23 12:59:39.504 +03:00 [INF] Worker running at: "2024-12-23T12:59:39.4993608+03:00"
2024-12-23 12:59:40.514 +03:00 [INF] Worker running at: "2024-12-23T12:59:40.5085321+03:00"
2024-12-23 12:59:41.524 +03:00 [INF] Worker running at: "2024-12-23T12:59:41.5199458+03:00"
2024-12-23 12:59:42.534 +03:00 [INF] Worker running at: "2024-12-23T12:59:42.5304181+03:00"
2024-12-23 12:59:43.549 +03:00 [INF] Worker running at: "2024-12-23T12:59:43.5452227+03:00"
2024-12-23 12:59:44.557 +03:00 [INF] Worker running at: "2024-12-23T12:59:44.5543058+03:00"
